NumHiddenLayers,HiddenLayerSize,TrainingFn,Regularization,TrainingError,TestError,NumberOfEpochs,Out1Tar1,Out1Tar2,Out1Tar3,Out2Tar1,Out2Tar2,Out2Tar3,Out3Tar1,Out3Tar2,Out3Tar3
1,5,traingd,0,0.856731488414728,0.535953978906999,1000,256,97,75,75,228,312,0,0,0
1,5,traingd,0.1,0.805398049001584,0.535953978906999,1000,254,95,64,77,230,323,0,0,0
1,5,traingd,0.2,0.750162939879499,0.531160115052733,1000,248,84,49,83,241,338,0,0,0
1,5,traingd,0.5,0.562448395863488,0.681687440076702,1000,15,7,2,276,317,385,40,1,0
1,5,traingd,1,0.19564375393902,0.688398849472675,1000,0,0,0,331,325,387,0,0,0
1,5,traingda,0,0.739795298929199,0.349952061361457,1000,252,60,18,68,166,109,11,99,260
1,5,traingda,0.1,0.715940831335968,0.457334611697028,1000,244,76,43,67,73,95,20,176,249
1,5,traingda,0.2,0.641957331860637,0.464046021093001,1000,252,90,50,43,37,67,36,198,270
1,5,traingda,0.5,0.415539732914605,0.445829338446788,1000,259,94,68,0,0,0,72,231,319
1,5,traingda,1,1.00355567440905e-09,0.682646212847555,151,331,325,387,0,0,0,0,0,0
1,5,traingdm,0,0.856675476422581,0.534036433365292,1000,258,97,76,73,228,311,0,0,0
1,5,traingdm,0.1,0.805334887602702,0.535953978906999,1000,254,95,64,77,230,323,0,0,0
1,5,traingdm,0.2,0.75009013959816,0.533077660594439,1000,248,86,50,83,239,337,0,0,0
1,5,traingdm,0.5,0.562303888890752,0.681687440076702,1000,16,8,2,272,316,385,43,1,0
1,5,traingdm,1,0.195380810167413,0.688398849472675,1000,0,0,0,331,325,387,0,0,0
1,5,traingdx,0,0.735580559347807,0.337488015340364,1000,258,59,21,61,170,103,12,96,263
1,5,traingdx,0.1,0.70468973234479,0.412272291466922,1000,244,73,39,72,112,91,15,140,257
1,5,traingdx,0.2,0.639559529392556,0.458293384467881,1000,250,88,50,50,48,70,31,189,267
1,5,traingdx,0.5,0.415538370140819,0.445829338446788,983,259,94,68,0,0,0,72,231,319
1,5,traingdx,1,4.4942891814816e-10,0.682646212847555,142,331,325,387,0,0,0,0,0,0
1,5,trainrp,0,0.733154020053254,0.334611697027804,1000,255,56,17,66,186,117,10,83,253
1,5,trainrp,0.1,0.704635564538793,0.408437200383509,1000,243,73,39,73,111,85,15,141,263
1,5,trainrp,0.2,0.639556691865873,0.456375838926175,585,251,88,50,49,49,70,31,188,267
1,5,trainrp,0.5,0.415538372857889,0.446788111217641,77,258,94,68,0,0,0,73,231,319
1,5,trainrp,1,9.26679032336994e-10,0.62895493767977,28,0,0,0,0,0,0,331,325,387
1,5,trainbfg,0,0.727552515566773,0.345158197507191,1000,256,60,16,65,169,113,10,96,258
1,5,trainbfg,0.1,0.704632445330561,0.409395973154362,194,243,73,39,73,111,86,15,141,262
1,5,trainbfg,0.2,0.639556665870807,0.456375838926175,151,251,88,50,49,49,70,31,188,267
1,5,trainbfg,0.5,0.415538369583426,0.446788111217641,73,258,94,68,0,0,0,73,231,319
1,5,trainbfg,1,1.15434377436338e-31,0.682646212847555,1,331,325,387,0,0,0,0,0,0
1,5,trainbr,0,0.261249889435175,0.340364333652924,1000,258,63,17,60,168,108,13,94,262
1,5,trainbr,0.1,0.261249889435175,0.340364333652924,1000,258,63,17,60,168,108,13,94,262
1,5,trainbr,0.2,0.261249889435175,0.340364333652924,1000,258,63,17,60,168,108,13,94,262
1,5,trainbr,0.5,0.261249889435175,0.340364333652924,1000,258,63,17,60,168,108,13,94,262
1,5,trainbr,1,0.261249889435175,0.340364333652924,1000,258,63,17,60,168,108,13,94,262
1,10,traingd,0,0.870203995269105,0.585810162991371,1000,215,138,138,5,67,99,111,120,150
1,10,traingd,0.1,0.825474599388925,0.605944391179291,1000,196,140,141,6,74,105,129,111,141
1,10,traingd,0.2,0.777967140145783,0.64046021093001,1000,159,138,141,9,82,112,163,105,134
1,10,traingd,0.5,0.619104825477,0.7535953978907,1000,16,91,113,12,92,125,303,142,149
1,10,traingd,1,0.300046581933477,0.647171620325983,1000,0,1,3,0,9,25,331,315,359
1,10,traingda,0,0.744841070023926,0.345158197507191,1000,244,49,24,68,161,85,19,115,278
1,10,traingda,0.1,0.708624898150695,0.422818791946309,1000,233,50,30,78,108,96,20,167,261
1,10,traingda,0.2,0.638511624540044,0.462128475551294,1000,270,101,69,40,48,75,21,176,243
1,10,traingda,0.5,0.406246417362104,0.452540747842761,1000,262,98,69,13,9,18,56,218,300
1,10,traingda,1,2.70757763568428e-09,0.62895493767977,164,0,0,0,0,0,0,331,325,387
1,10,traingdm,0,0.870017034030736,0.585810162991371,1000,216,139,139,5,67,99,110,119,149
1,10,traingdm,0.1,0.825291465408144,0.607861936720997,1000,196,140,141,6,74,107,129,111,139
1,10,traingdm,0.2,0.777790322985135,0.639501438159156,1000,160,138,141,9,84,114,162,103,132
1,10,traingdm,0.5,0.618944065464584,0.7535953978907,1000,16,92,114,12,93,125,303,140,148
1,10,traingdm,1,0.299941720818296,0.647171620325983,1000,0,1,3,0,9,25,331,315,359
1,10,traingdx,0,0.736768632952173,0.340364333652924,1000,257,58,23,61,171,104,13,96,260
1,10,traingdx,0.1,0.692686818959973,0.387344199424736,1000,244,64,34,72,134,92,15,127,261
1,10,traingdx,0.2,0.627776954930811,0.421860019175455,1000,244,77,40,72,101,89,15,147,258
1,10,traingdx,0.5,0.405878014246622,0.451581975071908,517,262,97,69,13,11,19,56,217,299
1,10,traingdx,1,3.02400717528355e-09,0.62895493767977,158,0,0,0,0,0,0,331,325,387
1,10,trainrp,0,0.728351169908528,0.337488015340364,1000,261,62,18,55,167,106,15,96,263
1,10,trainrp,0.1,0.691999749765612,0.37679769894535,1000,249,66,38,68,135,83,14,124,266
1,10,trainrp,0.2,0.627707614172649,0.418983700862895,1000,245,77,42,71,102,86,15,146,259
1,10,trainrp,0.5,0.405878020872041,0.451581975071908,201,262,97,69,13,11,19,56,217,299
1,10,trainrp,1,2.37782672572124e-09,0.682646212847555,28,331,325,387,0,0,0,0,0,0
1,10,trainbfg,0,0.722208621524758,0.360498561840844,1000,263,66,18,50,137,102,18,122,267
1,10,trainbfg,0.1,0.691971526827148,0.377756471716203,364,248,66,38,69,135,83,14,124,266
1,10,trainbfg,0.2,0.627704855371442,0.418983700862895,262,245,77,42,71,102,86,15,146,259
1,10,trainbfg,0.5,0.405878013896552,0.451581975071908,107,262,97,69,13,11,19,56,217,299
1,10,trainbfg,1,1.78402150435526e-32,0.688398849472675,1,0,0,0,331,325,387,0,0,0
1,10,trainbr,0,0.255709347597594,0.350910834132311,1000,252,64,18,62,165,109,17,96,260
1,10,trainbr,0.1,0.255709347597594,0.350910834132311,1000,252,64,18,62,165,109,17,96,260
1,10,trainbr,0.2,0.255709347597594,0.350910834132311,1000,252,64,18,62,165,109,17,96,260
1,10,trainbr,0.5,0.255709347597594,0.350910834132311,1000,252,64,18,62,165,109,17,96,260
1,10,trainbr,1,0.255709347597594,0.350910834132311,1000,252,64,18,62,165,109,17,96,260
1,20,traingd,0,0.802186006813298,0.494726749760307,1000,225,68,39,63,96,142,43,161,206
1,20,traingd,0.1,0.76559453540279,0.502396931927133,1000,224,69,41,68,118,169,39,138,177
1,20,traingd,0.2,0.728007596704026,0.5071907957814,1000,224,69,42,75,144,199,32,112,146
1,20,traingd,0.5,0.606000144575169,0.519654841802493,1000,221,71,49,74,152,210,36,102,128
1,20,traingd,1,0.359939865570066,0.683604985618408,1000,329,325,386,1,0,0,1,0,1
1,20,traingda,0,0.743838022226791,0.348993288590604,1000,231,43,15,76,147,71,24,135,301
1,20,traingda,0.1,0.69638674407091,0.408437200383509,1000,236,51,31,87,154,129,8,120,227
1,20,traingda,0.2,0.631355692481174,0.429530201342282,1000,238,54,30,61,74,74,32,197,283
1,20,traingda,0.5,0.400432503152712,0.459252157238734,1000,261,96,61,54,77,100,16,152,226
1,20,traingda,1,2.79273779802001e-09,0.682646212847555,178,331,325,387,0,0,0,0,0,0
1,20,traingdm,0,0.802073780962066,0.496644295302013,1000,224,68,39,64,94,141,43,163,207
1,20,traingdm,0.1,0.765504801544166,0.506232023010546,1000,224,69,41,67,114,169,40,142,177
1,20,traingdm,0.2,0.727947485832513,0.506232023010546,1000,224,69,42,76,145,199,31,111,146
1,20,traingdm,0.5,0.605962064636006,0.519654841802493,1000,221,71,49,74,152,210,36,102,128
1,20,traingdm,1,0.359907787054118,0.683604985618408,1000,329,325,386,1,0,0,1,0,1
1,20,traingdx,0,0.734403777984193,0.338446788111218,1000,254,55,20,62,168,99,15,102,268
1,20,traingdx,0.1,0.682343531552301,0.351869606903164,1000,254,62,31,62,153,87,15,110,269
1,20,traingdx,0.2,0.616923636518862,0.38255033557047,1000,247,67,36,68,131,85,16,127,266
1,20,traingdx,0.5,0.398633836322334,0.469798657718121,1000,252,88,50,48,47,83,31,190,254
1,20,traingdx,1,5.18683027064168e-09,0.682646212847555,169,331,325,387,0,0,0,0,0,0
1,20,trainrp,0,0.7267643195349,0.343240651965484,1000,246,52,26,72,178,100,13,95,261
1,20,trainrp,0.1,0.68245206177291,0.348993288590604,1000,255,64,31,61,151,83,15,110,273
1,20,trainrp,0.2,0.616657119159979,0.383509108341323,1000,246,66,38,71,132,84,14,127,265
1,20,trainrp,0.5,0.398634019745379,0.470757430488974,636,252,88,50,48,46,83,31,191,254
1,20,trainrp,1,1.13294712628103e-09,0.682646212847555,30,331,325,387,0,0,0,0,0,0
1,20,trainbfg,0,0.711233383947968,0.364333652924257,1000,250,69,23,64,163,114,17,93,250
1,20,trainbfg,0.1,0.682025516374626,0.353787152444871,503,254,63,29,62,151,89,15,111,269
1,20,trainbfg,0.2,0.616583535013312,0.38255033557047,474,246,66,38,72,132,83,13,127,266
1,20,trainbfg,0.5,0.398633413943366,0.469798657718121,332,252,88,50,48,47,83,31,190,254
1,20,trainbfg,1,1.85541111617839e-32,0.682646212847555,1,331,325,387,0,0,0,0,0,0
1,20,trainbr,0,0.249762446261156,0.360498561840844,1000,248,65,25,67,163,106,16,97,256
1,20,trainbr,0.1,0.249762446261156,0.360498561840844,1000,248,65,25,67,163,106,16,97,256
1,20,trainbr,0.2,0.249762446261156,0.360498561840844,1000,248,65,25,67,163,106,16,97,256
1,20,trainbr,0.5,0.249762446261156,0.360498561840844,1000,248,65,25,67,163,106,16,97,256
1,20,trainbr,1,0.249762446261156,0.360498561840844,1000,248,65,25,67,163,106,16,97,256
2,5,traingd,0,0.842844953652738,0.482262703739214,1000,237,102,92,17,13,5,77,210,290
2,5,traingd,0.1,0.81266118634486,0.50143815915628,1000,248,129,118,10,5,2,73,191,267
2,5,traingd,0.2,0.777743483980803,0.520613614573346,1000,264,156,150,1,0,1,66,169,236
2,5,traingd,0.5,0.646905045911198,0.565675934803452,1000,289,224,223,0,0,0,42,101,164
2,5,traingd,1,0.35644784477471,0.64333652924257,1000,36,47,51,0,0,0,295,278,336
2,5,traingda,0,0.744681077068125,0.358581016299137,1000,240,44,17,74,161,102,17,120,268
2,5,traingda,0.1,0.716926578053156,0.463087248322148,1000,238,57,38,52,46,73,41,222,276
2,5,traingda,0.2,0.64314867791181,0.433365292425695,1000,260,92,55,13,13,14,58,220,318
2,5,traingda,0.5,0.417375484686454,0.446788111217641,1000,261,97,71,0,0,0,70,228,316
2,5,traingda,1,1.65249486266643e-09,0.62895493767977,158,0,0,0,0,0,0,331,325,387
2,5,traingdm,0,0.842932002328209,0.48130393096836,1000,238,103,92,17,13,5,76,209,290
2,5,traingdm,0.1,0.812707573023842,0.502396931927133,1000,248,129,119,10,5,2,73,191,266
2,5,traingdm,0.2,0.777752189581207,0.518696069031639,1000,266,158,150,1,0,1,64,167,236
2,5,traingdm,0.5,0.646832454323934,0.563758389261745,1000,291,224,223,0,0,0,40,101,164
2,5,traingdm,1,0.356207508967516,0.64333652924257,1000,36,47,51,0,0,0,295,278,336
2,5,traingdx,0,0.7378997450864,0.339405560882071,1000,261,65,23,55,172,108,15,88,256
2,5,traingdx,0.1,0.695522700102178,0.377756471716203,1000,250,66,26,65,138,100,16,121,261
2,5,traingdx,0.2,0.636046239779213,0.417066155321189,1000,255,80,41,53,80,73,23,165,273
2,5,traingdx,0.5,0.417312722554773,0.445829338446788,1000,261,96,70,0,0,0,70,229,317
2,5,traingdx,1,2.79202106845253e-10,0.62895493767977,149,0,0,0,0,0,0,331,325,387
2,5,trainrp,0,0.734587116663974,0.348993288590604,1000,261,65,19,58,161,111,12,99,257
2,5,trainrp,0.1,0.694499414945061,0.354745925215724,1000,255,66,30,63,149,88,13,110,269
2,5,trainrp,0.2,0.635910568752776,0.418024928092042,1000,251,78,37,59,89,83,21,158,267
2,5,trainrp,0.5,0.41731272568796,0.445829338446788,150,261,96,70,0,0,0,70,229,317
2,5,trainrp,1,1.08372503389463e-09,0.62895493767977,28,0,0,0,0,0,0,331,325,387
2,5,trainbfg,0,0.721581554450367,0.35953978906999,1000,247,59,17,69,163,112,15,103,258
2,5,trainbfg,0.1,0.694130527488201,0.348993288590604,319,255,62,29,61,153,87,15,110,271
2,5,trainbfg,0.2,0.635902267285284,0.418983700862895,216,253,79,36,57,86,84,21,160,267
2,5,trainbfg,0.5,0.417312721719892,0.445829338446788,105,261,96,70,0,0,0,70,229,317
2,5,trainbfg,1,1.87761808522403e-32,0.682646212847555,1,331,325,387,0,0,0,0,0,0
2,5,trainbr,0,0.257465697309032,0.343240651965484,1000,244,53,18,73,178,106,14,94,263
2,5,trainbr,0.1,0.257465697309032,0.343240651965484,1000,244,53,18,73,178,106,14,94,263
2,5,trainbr,0.2,0.257465697309032,0.343240651965484,1000,244,53,18,73,178,106,14,94,263
2,5,trainbr,0.5,0.257465697309032,0.343240651965484,1000,244,53,18,73,178,106,14,94,263
2,5,trainbr,1,0.257465697309032,0.343240651965484,1000,244,53,18,73,178,106,14,94,263
2,10,traingd,0,0.836911889642195,0.493767976989454,1000,221,72,50,76,135,165,34,118,172
2,10,traingd,0.1,0.793954052961119,0.494726749760307,1000,221,72,51,78,139,169,32,114,167
2,10,traingd,0.2,0.749199038106888,0.494726749760307,1000,221,72,51,80,142,172,30,111,164
2,10,traingd,0.5,0.604298147510868,0.542665388302972,1000,222,72,51,95,164,245,14,89,91
2,10,traingd,1,0.328509542266928,0.554170661553212,1000,223,83,60,108,242,327,0,0,0
2,10,traingda,0,0.740187676938675,0.350910834132311,1000,256,65,27,65,176,115,10,84,245
2,10,traingda,0.1,0.711186503873868,0.426653883029722,1000,228,41,23,88,135,129,15,149,235
2,10,traingda,0.2,0.635036622160332,0.445829338446788,1000,249,76,43,66,108,123,16,141,221
2,10,traingda,0.5,0.403577023081554,0.448705656759348,1000,246,84,47,27,23,34,58,218,306
2,10,traingda,1,5.32800299649059e-09,0.688398849472675,175,0,0,0,331,325,387,0,0,0
2,10,traingdm,0,0.837033867050378,0.494726749760307,1000,221,72,50,76,134,165,34,119,172
2,10,traingdm,0.1,0.794040651967859,0.494726749760307,1000,221,72,51,78,139,169,32,114,167
2,10,traingdm,0.2,0.749255634040811,0.494726749760307,1000,221,72,51,80,142,172,30,111,164
2,10,traingdm,0.5,0.604301167639109,0.542665388302972,1000,222,72,51,95,164,245,14,89,91
2,10,traingdm,1,0.328472904285002,0.554170661553212,1000,223,83,60,108,242,327,0,0,0
2,10,traingdx,0,0.736973303856648,0.334611697027804,1000,258,59,19,61,172,104,12,94,264
2,10,traingdx,0.1,0.679418612199013,0.345158197507191,1000,257,61,25,59,162,98,15,102,264
2,10,traingdx,0.2,0.61535809192187,0.353787152444871,1000,255,66,29,62,151,90,14,108,268
2,10,traingdx,0.5,0.402178226858616,0.460210930009588,1000,259,92,52,33,32,63,39,201,272
2,10,traingdx,1,9.40249249216813e-11,0.688398849472675,167,0,0,0,331,325,387,0,0,0
2,10,trainrp,0,0.726926608490249,0.341323106423778,1000,252,55,24,62,172,100,17,98,263
2,10,trainrp,0.1,0.679691444655696,0.340364333652924,1000,262,63,26,54,155,90,15,107,271
2,10,trainrp,0.2,0.614670520865148,0.357622243528284,1000,254,64,26,65,152,97,12,109,264
2,10,trainrp,0.5,0.402178203475978,0.460210930009588,523,259,92,52,33,32,63,39,201,272
2,10,trainrp,1,2.72729688328698e-09,0.682646212847555,28,331,325,387,0,0,0,0,0,0
2,10,trainbfg,0,0.709272785399828,0.351869606903164,1000,255,72,27,56,163,102,20,90,258
2,10,trainbfg,0.1,0.677535298955093,0.348034515819751,777,258,61,26,60,160,99,13,104,262
2,10,trainbfg,0.2,0.614082403213292,0.352828379674017,448,256,63,29,61,153,92,14,109,266
2,10,trainbfg,0.5,0.402178190900795,0.460210930009588,142,259,92,52,33,32,63,39,201,272
2,10,trainbfg,1,1.18085008710409e-31,0.682646212847555,1,331,325,387,0,0,0,0,0,0
2,10,trainbr,0,0.254111008281406,0.346116970278044,1000,252,64,24,66,165,98,13,96,265
2,10,trainbr,0.1,0.254111008281406,0.346116970278044,1000,252,64,24,66,165,98,13,96,265
2,10,trainbr,0.2,0.254111008281406,0.346116970278044,1000,252,64,24,66,165,98,13,96,265
2,10,trainbr,0.5,0.254111008281406,0.346116970278044,1000,252,64,24,66,165,98,13,96,265
2,10,trainbr,1,0.254111008281406,0.346116970278044,1000,252,64,24,66,165,98,13,96,265
2,20,traingd,0,0.813643444986882,0.494726749760307,1000,257,105,94,56,119,142,18,101,151
2,20,traingd,0.1,0.763117685513732,0.49568552253116,1000,263,109,98,55,121,147,13,95,142
2,20,traingd,0.2,0.712095954647128,0.49568552253116,1000,264,112,99,55,124,150,12,89,138
2,20,traingd,0.5,0.557078218425132,0.519654841802493,1000,234,102,85,84,139,174,13,84,128
2,20,traingd,1,0.258159096180918,0.654841802492809,1000,0,5,16,323,249,260,8,71,111
2,20,traingda,0,0.741908393587439,0.349952061361457,1000,246,52,25,69,157,87,16,116,275
2,20,traingda,0.1,0.685658341014006,0.344199424736337,1000,245,52,26,65,152,74,21,121,287
2,20,traingda,0.2,0.610207949487937,0.361457334611697,1000,242,52,26,73,153,90,16,120,271
2,20,traingda,0.5,0.399795494694009,0.432406519654842,1000,239,63,29,32,36,41,60,226,317
2,20,traingda,1,9.47400391650374e-09,0.62895493767977,195,0,0,0,0,0,0,331,325,387
2,20,traingdm,0,0.813799049589769,0.494726749760307,1000,258,105,94,56,119,143,17,101,150
2,20,traingdm,0.1,0.763250950377641,0.496644295302013,1000,263,109,98,55,121,148,13,95,141
2,20,traingdm,0.2,0.712214964950038,0.496644295302013,1000,265,113,99,54,123,151,12,89,137
2,20,traingdm,0.5,0.55723429703158,0.520613614573346,1000,234,102,86,84,139,174,13,84,127
2,20,traingdm,1,0.258155370666082,0.654841802492809,1000,0,5,16,323,249,260,8,71,111
2,20,traingdx,0,0.733821017674882,0.337488015340364,1000,255,59,16,61,165,100,15,101,271
2,20,traingdx,0.1,0.681883146392627,0.337488015340364,1000,256,59,24,62,165,93,13,101,270
2,20,traingdx,0.2,0.611261513562506,0.339405560882071,1000,257,61,25,60,164,94,14,100,268
2,20,traingdx,0.5,0.388464543956946,0.380632790028763,1000,253,73,32,64,129,91,14,123,264
2,20,traingdx,1,7.57846935779529e-09,0.62895493767977,186,0,0,0,0,0,0,331,325,387
2,20,trainrp,0,0.716177847915332,0.353787152444871,1000,249,63,26,62,159,95,20,103,266
2,20,trainrp,0.1,0.67431302454159,0.344199424736337,1000,256,61,22,62,164,101,13,100,264
2,20,trainrp,0.2,0.603868864404051,0.341323106423778,1000,260,60,27,58,165,98,13,100,262
2,20,trainrp,0.5,0.388082402839067,0.37967401725791,1000,252,71,31,65,129,90,14,125,266
2,20,trainrp,1,1.45894705017589e-08,0.682646212847555,26,331,325,387,0,0,0,0,0,0
2,20,trainbfg,0,0.690457284803922,0.366251198465964,1000,240,50,21,65,173,118,26,102,248
2,20,trainbfg,0.1,0.667039828510539,0.336529242569511,1000,256,58,17,62,172,106,13,95,264
2,20,trainbfg,0.2,0.599797653146308,0.344199424736337,723,261,62,25,58,162,101,12,101,261
2,20,trainbfg,0.5,0.387934693466255,0.37967401725791,534,250,67,31,68,133,92,13,125,264
2,20,trainbfg,1,1.82439537950449e-31,0.688398849472675,1,0,0,0,331,325,387,0,0,0
2,20,trainbr,0,0.240874989805669,0.38542665388303,1000,240,61,21,67,149,114,24,115,252
2,20,trainbr,0.1,0.240874989805669,0.38542665388303,1000,240,61,21,67,149,114,24,115,252
2,20,trainbr,0.2,0.240874989805669,0.38542665388303,1000,240,61,21,67,149,114,24,115,252
2,20,trainbr,0.5,0.240874989805669,0.38542665388303,1000,240,61,21,67,149,114,24,115,252
2,20,trainbr,1,0.240874989805669,0.38542665388303,1000,240,61,21,67,149,114,24,115,252
